,dias_cursado,semestre_año,nota_final_materia,fecha_mesa_epoch,nombre_examen,nota_parcial,id_tarea,nombre_de_la_tarea,fecha_creacion_tarea,vencimiento_tarea,apertura_tarea,cierre_tarea,puntos_posibles,nombre_entrega,id_entrega_tarea,puntaje,formato_entrega,fecha_entrega,fecha_correccion,id_usuario,id_curso,nombre_curso,legajo
288,57,1-2022,8.0,2022-07-05,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,199333.0,Trabajo Práctico 4 [TP4],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 4 [TP4],7ce30fdd-84f2-4e3a-bf8b-967dee46c324,100.0,online_quiz,2022-07-04,2022-07-04,7c03e403-9805-4803-b9ea-069d83c4767b,3fba3577-b5e7-40a6-8bcf-883555a3eaed,Team-oriented executive leverage,412892JKG
289,28,1-2022,9.0,2022-04-13,PRIMER PARCIAL(20),10.0,201487.0,Trabajo Práctico 1 [TP1],2022-02-25,2022-04-12,2022-03-21,2022-04-12,100.0,Trabajo Práctico 1 [TP1],d612adac-dca0-4db8-924b-0a8d697aec07,100.0,online_upload,2022-04-12,2022-04-14,0eb9967c-f574-4cad-a270-c3e640d9efab,15bfa562-b50c-47e4-be33-d36a67d65bca,Quality-focused 24/7 structure,889706RMI
290,29,1-2022,6.0,2022-06-06,PRIMER PARCIAL(20),6.0,209606.0,Actividad Práctica Integradora 1 [API1],2022-04-20,2022-06-06,2022-05-23,2022-06-06,100.0,Actividad Práctica Integradora 3 [API3],2710bab0-201e-443a-b332-fdd922613335,100.0,external_tool,2022-06-05,2022-06-07,e9a00f12-59b0-423b-bf39-bd3e88f0619f,c78af3b4-4574-4a82-8c41-45195ce43384,Object-based leadingedge help-desk,962820FFK
291,29,1-2022,6.0,2022-06-06,PRIMER PARCIAL(20),6.0,209606.0,Actividad Práctica Integradora 1 [API1],2022-04-20,2022-06-06,2022-05-23,2022-06-06,100.0,Trabajo Práctico 3 [TP3],cb34062e-cee4-453d-ba19-b519e7d497ad,81.66666666666667,online_quiz,2022-06-05,2022-06-05,e9a00f12-59b0-423b-bf39-bd3e88f0619f,c78af3b4-4574-4a82-8c41-45195ce43384,Object-based leadingedge help-desk,962820FFK
292,27,1-2022,4.0,2022-04-11,PRIMER PARCIAL(20),5.0,202846.0,Actividad práctica integradora [API1],2022-02-25,2022-04-11,2022-03-21,2022-04-11,100.0,Actividad práctica integradora [API1],cbb492b4-0213-41d4-ba99-cbf8b7a199a7,100.0,online_text_entry,2022-04-11,2022-04-14,824f65c1-455d-4101-bc68-da7eecb21f1b,34b4df64-cba9-4a3a-a2ea-2fd35fe49e34,Progressive human-resource strategy,196383SWJ
293,18,1-2022,8.0,2022-04-11,PRIMER PARCIAL(20),8.0,206612.0,Actividad Práctica Integradora 1 [API1],2022-03-20,2022-04-11,2022-03-21,2022-04-11,100.0,Evaluación diagnóstica,18893868-e41a-4a0e-823f-e3256fd2fd3a,93.75,online_quiz,2022-04-11,2022-04-11,c32aa171-bf91-4532-90b6-6dfb4f51ebdb,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,220319OFT
294,18,1-2022,7.0,2022-04-11,PRIMER PARCIAL(20),6.0,206612.0,Actividad Práctica Integradora 1 [API1],2022-03-20,2022-04-11,2022-03-21,2022-04-11,100.0,Actividad Práctica Integradora 2 [API2],ce20ba4d-c8c8-4409-8eb0-f406ed763cad,75.0,external_tool,2022-04-10,2022-04-11,acd6cbe8-e340-4ba6-880e-0c09b64a9678,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,198402GMS
295,41,1-2022,8.0,2022-05-02,SEGUNDO PARCIAL(20),9.0,194619.0,Actividad Práctica Integradora 3 [API3],2022-02-17,2022-05-02,2022-03-21,2022-05-02,100.0,Trabajo Práctico 3 - Avanzado [TP3],8ad9b5a5-96d8-4f81-99c5-5df45083a1d5,90.0,online_quiz,2022-04-30,2022-04-30,755f18e6-32d2-40a5-8b6b-8e58e8faafd4,68005d22-90dc-42f6-b90a-409714481cbc,Total radical adapter,760637GKU
296,18,1-2022,7.0,2022-04-11,PRIMER PARCIAL(20),8.0,206612.0,Actividad Práctica Integradora 1 [API1],2022-03-20,2022-04-11,2022-03-21,2022-04-11,100.0,Actividad Práctica Integradora 2 [API2],2ba4f14c-7f5e-4e7e-9b1c-6b972d61d275,91.7,external_tool,2022-04-11,2022-04-16,fc621de4-8fac-4fd8-8a51-9f7fa341b79e,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,237559YAL
297,56,1-2022,6.0,2022-07-18,INTEGRADOR(30),6.0,210342.0,Actividad Práctica Integradora 4 [API4],2022-04-20,2022-07-18,2022-05-23,2022-07-18,100.0,Evaluación diagnóstica,0867b740-381d-4bad-a688-0febcfe9fd07,100.0,online_quiz,2022-07-17,2022-07-17,f81ef422-2606-4554-97ee-2b80fe604e62,61819379-999e-4447-8a98-ccf8a7828a38,Ameliorated regional instruction set,246124VYB
298,56,1-2022,6.0,2022-07-18,INTEGRADOR(30),6.0,210342.0,Actividad Práctica Integradora 4 [API4],2022-04-20,2022-07-18,2022-05-23,2022-07-18,100.0,Trabajo Práctico 4 [TP4],e9d07ad6-6d27-4eaf-8b72-b0b211386b70,72.5,online_quiz,2022-07-17,2022-07-17,f81ef422-2606-4554-97ee-2b80fe604e62,61819379-999e-4447-8a98-ccf8a7828a38,Ameliorated regional instruction set,246124VYB
299,31,1-2022,8.0,2022-04-18,PRIMER PARCIAL(20),6.0,202208.0,Actividad Práctica Integradora 2 [API2],2022-02-25,2022-04-18,2022-03-21,2022-04-18,100.0,Trabajo Práctico 2 [TP2],d2611996-2c8d-4adf-a2ef-f526cd301bc5,95.0,online_quiz,2022-04-18,2022-04-18,74b635e2-1ab3-4472-b491-9849574eb4a6,b06c9689-850b-4f16-9b3f-abee915b34de,Upgradable bifurcated system engine,895742MCK
300,31,1-2022,8.0,2022-04-18,PRIMER PARCIAL(20),6.0,202208.0,Actividad Práctica Integradora 2 [API2],2022-02-25,2022-04-18,2022-03-21,2022-04-18,100.0,Actividad Práctica Integradora 2 [API2],3221a246-70f9-4507-bc10-24f1e608ae6a,100.0,external_tool,2022-04-18,2022-04-18,74b635e2-1ab3-4472-b491-9849574eb4a6,b06c9689-850b-4f16-9b3f-abee915b34de,Upgradable bifurcated system engine,895742MCK
301,18,1-2022,8.0,2022-04-11,PRIMER PARCIAL(20),7.0,206612.0,Actividad Práctica Integradora 1 [API1],2022-03-20,2022-04-11,2022-03-21,2022-04-11,100.0,Trabajo Práctico 2 [TP2],d3bdd6a3-5be5-43fc-9fd4-3bdbb6201827,93.33333333333331,online_quiz,2022-04-11,2022-04-11,cbd558c3-472f-46e7-b7f7-b995244c3a64,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,236115TPN
302,18,1-2022,8.0,2022-04-11,PRIMER PARCIAL(20),7.0,206612.0,Actividad Práctica Integradora 1 [API1],2022-03-20,2022-04-11,2022-03-21,2022-04-11,100.0,Trabajo Práctico 1 [TP1],94ab9df6-e3c2-4df8-a23e-6bfc721015e4,80.0,online_quiz,2022-04-11,2022-04-11,cbd558c3-472f-46e7-b7f7-b995244c3a64,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,236115TPN
303,18,1-2022,8.0,2022-04-11,PRIMER PARCIAL(20),7.0,206612.0,Actividad Práctica Integradora 1 [API1],2022-03-20,2022-04-11,2022-03-21,2022-04-11,100.0,Actividad Práctica Integradora 2 [API2],7a8d8f14-9d80-49a3-be00-a6aade114b49,83.3,external_tool,2022-04-11,2022-04-11,cbd558c3-472f-46e7-b7f7-b995244c3a64,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,236115TPN
304,30,1-2022,4.0,2022-06-06,PRIMER PARCIAL(20),5.0,208870.0,Actividad Práctica Integradora 1 [API1],2022-04-19,2022-06-06,2022-05-23,2022-06-06,100.0,Trabajo Práctico 2 [TP2],0b5cb96b-70ad-4439-a269-a4a0fd6d1813,64.99999999999999,online_quiz,2022-06-07,2022-06-07,8289fbcb-a999-4b5b-8d7e-a4ea0fe477d5,511e3cc1-6403-419d-8df2-8b3437254ba8,Automated intermediate open system,730281VXM
305,30,1-2022,4.0,2022-06-06,PRIMER PARCIAL(20),5.0,208870.0,Actividad Práctica Integradora 1 [API1],2022-04-19,2022-06-06,2022-05-23,2022-06-06,100.0,Actividad Práctica Integradora 2 [API2],a4347de5-1efa-48eb-b0f3-4ebe500d98a4,100.0,external_tool,2022-06-07,2022-06-07,8289fbcb-a999-4b5b-8d7e-a4ea0fe477d5,511e3cc1-6403-419d-8df2-8b3437254ba8,Automated intermediate open system,730281VXM
306,20,1-2022,6.0,2022-04-12,PRIMER PARCIAL(20),5.0,205513.0,Trabajo Práctico 1 [TP1],2022-03-16,2022-04-12,2022-03-21,2022-04-12,100.0,Trabajo Práctico 1 [TP1],ff6b30c8-8137-4798-853b-c58ae7d9c3df,75.0,online_upload,2022-04-12,2022-04-16,8aae8bd6-7ce9-4b4b-bfb5-921caffb0dda,95d2f1cb-05bf-4915-934a-090799f791bd,Re-contextualized hybrid initiative,080696DMA
307,51,01-2022,4.0,2022-03-02,INTEGRADOR(30),6.0,191751.0,Trabajo Práctico 3 [TP3],2022-01-24,2022-03-02,2022-01-31,2022-03-02,100.0,Trabajo Práctico 3 [TP3],adca7afc-7fb7-4dbb-b8f8-c15be75fc27c,0.0,online_upload,2022-03-02,2022-02-26,87ac016d-af3f-4b1b-8489-ab66d9f412f9,cdcf2160-1901-46d4-ad71-60ee7ef442c6,Profound web-enabled algorithm,318932EJY
308,51,01-2022,4.0,2022-03-02,INTEGRADOR(30),6.0,191736.0,Trabajo Práctico 2 [TP2],2022-01-24,2022-03-02,2022-01-31,2022-03-02,100.0,Trabajo Práctico 3 [TP3],adca7afc-7fb7-4dbb-b8f8-c15be75fc27c,0.0,online_upload,2022-03-02,2022-02-26,87ac016d-af3f-4b1b-8489-ab66d9f412f9,cdcf2160-1901-46d4-ad71-60ee7ef442c6,Profound web-enabled algorithm,318932EJY
309,51,01-2022,4.0,2022-03-02,INTEGRADOR(30),6.0,191723.0,Trabajo Práctico 1 [TP1],2022-01-24,2022-03-02,2022-01-31,2022-03-02,100.0,Trabajo Práctico 3 [TP3],adca7afc-7fb7-4dbb-b8f8-c15be75fc27c,0.0,online_upload,2022-03-02,2022-02-26,87ac016d-af3f-4b1b-8489-ab66d9f412f9,cdcf2160-1901-46d4-ad71-60ee7ef442c6,Profound web-enabled algorithm,318932EJY
